12
0	1713	1819	2798	1856	1566	2031	999999	2715	2004	889	563
2143	0	268	2951	232	113	319	2974	752	1018	3488	1915
1681	268	0	2847	199	702	258	3035	1646	975	3759	2381
546	2746	3043	0	2411	3100	2701	799	1188	883	999999	1450
1697	232	290	2394	0	201	236	3068	785	1031	3783	1915
1840	113	286	3143	201	0	290	2908	611	1055	3639	1737
2317	319	271	2831	206	290	0	3038	1025	878	4812	1998
999999	2238	2260	2805	2372	1934	2360	0	999999	1767	1306	503
2811	856	1025	2991	1016	458	696	4587	0	999999	999999	2265
1589	1371	1324	2993	1234	1774	1221	2071	999999	0	999999	3984
1122	2478	2501	999999	2524	2290	2524	1103	3637	999999	0	999999
990	2510	1876	3468	1814	2471	1814	784	3243	3458	999999	0
